ortho,Lexique3__phon,Lexique3__lemme,Lexique3__cgram,Lexique3__freqlemfilms2,Lexique3__freqfilms2,Lexique3__nblettres,Lexique3__puorth,Lexique3__puphon,Lexique3__nbsyll,Lexique3__cgramortho
dents,d@,dent,NOM,74.2,60.94,5,0,2,1,NOM
dette,dEt,dette,NOM,26.13,12.77,5,3,3,1,NOM
deuil,d9j,deuil,NOM,12.24,12.21,5,4,3,1,NOM
dieux,dj2,dieu,NOM,903.41,50.49,5,0,3,1,NOM
dinde,d5d,dinde,NOM,9.32,8.79,5,5,3,1,NOM
dires,diR,dire,NOM,53.88,1.94,5,0,3,1,NOM
divan,div@,divan,NOM,4.92,4.89,5,5,4,2,NOM
divas,diva,diva,NOM,4.16,0.56,5,0,4,2,NOM
docks,dOk,dock,NOM,3.1,2.18,5,0,3,1,NOM
dodos,dodo,dodo,NOM,7.53,0.01,5,0,4,2,NOM
doigt,dwa,doigt,NOM,85.69,39.83,5,5,3,1,NOM
donne,dOn,donne,NOM,25.03,23.73,5,5,3,1,"NOM,VER"
dopes,dOp,dope,NOM,7.47,0.0,5,0,3,1,"NOM,VER"
doses,doz,dose,NOM,18.44,4.21,5,0,3,1,"NOM,VER"
doute,dut,doute,NOM,108.18,97.51,5,5,3,1,"NOM,VER"
doyen,dwaj5,doyen,NOM,3.31,3.12,5,5,5,2,NOM
drame,dRam,drame,NOM,14.87,13.48,5,5,4,1,NOM
draps,dRa,drap,NOM,19.22,15.54,5,0,3,1,NOM
droit,dRwa,droit,NOM,207.62,175.6,5,5,4,1,"ADJ,ADV,NOM"
drôle,dRol,drôle,NOM,18.73,13.59,5,5,4,1,"ADJ,NOM"
duces,dutSe,duce,NOM,2.21,0.0,5,0,4,2,NOM
ducon,dyk§,ducon,NOM,6.86,6.86,5,4,4,2,NOM
duels,d8El,duel,NOM,7.54,1.37,5,0,4,1,NOM
dunes,dyn,dune,NOM,3.96,2.41,5,0,3,1,NOM
dures,dyR,dure,NOM,3.69,0.37,5,0,3,1,"ADJ,NOM,VER"
durée,dyRe,durée,NOM,6.86,6.84,5,4,4,2,"VER,NOM"
débat,deba,débat,NOM,10.7,7.77,5,5,4,2,"NOM,VER"
début,deby,début,NOM,114.31,109.88,5,5,4,2,NOM
décor,dekOR,décor,NOM,8.38,6.01,5,5,5,2,NOM
décès,desE,décès,NOM,12.82,12.82,5,4,4,2,NOM
défis,defi,défi,NOM,12.24,2.02,5,0,4,2,"VER,NOM"
dégât,dega,dégât,NOM,14.22,0.95,5,4,4,2,NOM
délai,delE,délai,NOM,11.04,8.94,5,5,4,2,NOM
délit,deli,délit,NOM,13.52,11.35,5,5,4,2,NOM
démon,dem§,démon,NOM,61.0,39.71,5,5,4,2,NOM
dépit,depi,dépit,NOM,5.82,5.82,5,5,4,2,NOM
dépôt,depo,dépôt,NOM,13.2,11.9,5,5,4,2,NOM
désir,deziR,désir,NOM,45.35,31.59,5,5,5,2,NOM
dîner,dine,dîner,NOM,88.45,84.73,5,5,4,2,"ADJ,NOM,VER"
effet,efE,effet,NOM,116.75,99.17,5,5,3,2,NOM
elfes,Elf,elfe,NOM,3.26,1.87,5,0,3,1,NOM
encre,@kR,encre,NOM,6.81,6.49,5,5,3,1,"NOM,VER"
enfer,@fER,enfer,NOM,88.86,86.02,5,5,4,2,NOM
engin,@Z5,engin,NOM,11.25,9.41,5,5,3,2,NOM
enjeu,@Z2,enjeu,NOM,4.67,3.52,5,4,3,2,NOM
ennui,@n8i,ennui,NOM,76.64,14.76,5,5,4,2,NOM
envie,@vi,envie,NOM,213.96,210.62,5,5,3,2,"NOM,VER"
envoi,@vwa,envoi,NOM,4.46,3.47,5,5,4,2,NOM
envol,@vOl,envol,NOM,2.5,2.48,5,5,3,2,NOM
essai,esE,essai,NOM,28.78,20.31,5,5,3,2,NOM
euros,2Ro,euro,NOM,9.84,8.99,5,0,3,2,NOM
exams,Egzam,exam,NOM,3.08,1.01,5,0,5,2,NOM
excès,EksE,excès,NOM,7.67,7.67,5,4,4,2,NOM
exils,Egzil,exil,NOM,6.04,0.14,5,0,5,2,NOM
exilé,Egzile,exilé,NOM,2.23,0.88,5,5,6,3,"VER,ADJ,NOM"
expos,Ekspo,expo,NOM,3.77,0.51,5,0,5,2,NOM
extra,EkstRa,extra,NOM,4.93,3.88,5,5,6,2,"ADJ,NOM"
fable,fabl,fable,NOM,2.59,1.79,5,5,4,1,NOM
faces,fas,face,NOM,125.32,0.98,5,0,3,1,NOM
faims,f5,faim,NOM,128.04,0.55,5,0,2,1,NOM
faits,fE,fait,NOM,412.07,27.36,5,0,2,1,"VER,ADJ,NOM"
farce,faRs,farce,NOM,9.35,7.45,5,5,4,1,"NOM,VER"
faute,fot,faute,NOM,169.26,163.19,5,5,3,1,"NOM,VER"
fauve,fov,fauve,NOM,3.61,1.26,5,5,3,1,"ADJ,NOM"
façon,fas§,façon,NOM,230.48,212.6,5,5,4,2,NOM
faîte,fEt,faîte,NOM,56.42,56.42,5,5,3,1,NOM
femme,fam,femme,NOM,1049.32,806.57,5,5,3,1,NOM
fente,f@t,fente,NOM,3.93,3.61,5,5,3,1,NOM
ferme,fERm,ferme,NOM,76.86,73.53,5,5,4,1,"ADJ,ADV,NOM,VER"
ferry,fERi,ferry,NOM,2.12,1.98,5,5,4,2,NOM
fesse,fEs,fesse,NOM,36.32,1.81,5,5,3,1,"NOM,VER"
fibre,fibR,fibre,NOM,6.65,2.67,5,5,4,1,NOM
fiche,fiS,fiche,NOM,10.46,7.45,5,5,3,1,"NOM,VER"
fiefs,fjEf,fief,NOM,3.38,0.16,5,0,4,1,NOM
figue,fig,figue,NOM,7.38,3.44,5,5,3,1,NOM
files,fil,file,NOM,22.88,0.64,5,0,3,1,"NOM,VER"
filet,filE,filet,NOM,15.44,10.99,5,5,4,2,NOM
fille,fij,fille,NOM,841.56,627.59,5,5,3,1,NOM
films,film,film,NOM,252.66,57.56,5,0,4,1,NOM
filon,fil§,filon,NOM,5.61,1.77,5,5,4,2,NOM
filou,filu,filou,NOM,2.48,1.79,5,5,4,2,NOM
final,final,final,NOM,3.76,3.74,5,5,5,2,"ADJ,NOM"
firme,fiRm,firme,NOM,4.32,4.07,5,5,4,1,NOM
flair,flER,flair,NOM,2.32,2.32,5,5,4,1,NOM
flanc,fl@,flanc,NOM,5.57,4.01,5,5,3,1,NOM
flans,fl@,flan,NOM,2.36,0.05,5,0,3,1,NOM
flash,flaS,flash,NOM,8.52,7.78,5,5,4,1,NOM
fleur,fl9R,fleur,NOM,99.75,25.2,5,5,4,1,NOM
flics,flik,flic,NOM,153.5,85.97,5,0,4,1,NOM
flirt,fl9Rt,flirt,NOM,2.29,1.98,5,5,5,1,NOM
flots,flo,flot,NOM,10.28,5.62,5,0,3,1,NOM
fléau,fleo,fléau,NOM,5.1,4.47,5,4,4,2,NOM
flûte,flyt,flûte,NOM,10.13,9.11,5,5,4,1,NOM
foies,fwa,foie,NOM,23.48,1.21,5,0,3,1,NOM
foins,fw5,foin,NOM,6.73,0.67,5,0,3,1,NOM
foire,fwaR,foire,NOM,11.83,11.11,5,5,4,1,"NOM,VER"
folie,foli,folie,NOM,52.39,49.01,5,5,4,2,NOM
folle,fOl,fou,NOM,94.17,18.74,5,0,3,1,"ADJ,NOM"
fonds,f§,fonds,NOM,15.1,15.1,5,5,2,1,"VER,NOM"
force,fORs,force,NOM,151.96,108.29,5,5,4,1,"ADJ:ind,NOM,VER"
forme,fORm,forme,NOM,94.19,82.61,5,5,4,1,"NOM,VER"
forts,fOR,fort,NOM,13.49,2.11,5,0,3,1,"ADJ,NOM"
forêt,foRE,forêt,NOM,34.94,29.57,5,4,4,2,NOM
fosse,fOs,fosse,NOM,7.92,6.64,5,5,3,1,NOM
fossé,fose,fossé,NOM,4.71,4.1,5,5,4,2,NOM
fouet,fwE,fouet,NOM,8.56,7.92,5,5,3,1,NOM
foule,ful,foule,NOM,27.81,25.95,5,5,3,1,"NOM,VER"
fours,fuR,four,NOM,15.44,1.48,5,0,3,1,NOM
foyer,fwaje,foyer,NOM,28.95,25.57,5,4,5,2,"ADJ,NOM"
frais,fRE,frais,NOM,26.81,26.16,5,5,3,1,"ADJ,ADV,NOM"
franc,fR@,franc,NOM,17.64,1.21,5,5,3,1,"ADJ,ADV,NOM"
frein,fR5,frein,NOM,10.25,4.87,5,5,3,1,NOM
frics,fRik,fric,NOM,109.01,0.02,5,0,4,1,NOM
frigo,fRigo,frigo,NOM,19.29,19.07,5,5,5,2,NOM
frite,fRit,frite,NOM,9.33,0.66,5,5,4,1,"ADJ,NOM"
frocs,fROk,froc,NOM,6.92,0.31,5,0,4,1,NOM
froid,fRwa,froid,NOM,29.11,28.73,5,5,4,1,"ADJ,NOM"
front,fR§,front,NOM,41.03,38.81,5,5,3,1,NOM
fruit,fR8i,fruit,NOM,39.45,15.99,5,5,4,1,NOM
frère,fRER,frère,NOM,390.39,311.45,5,3,4,1,NOM
fugue,fyg,fugue,NOM,4.16,3.61,5,5,3,1,"NOM,VER"
fuite,f8it,fuite,NOM,29.09,26.02,5,5,4,1,NOM
fulls,ful,full,NOM,2.28,0.01,5,0,3,1,NOM
fumée,fyme,fumée,NOM,20.25,19.91,5,5,4,2,"VER,ADJ,NOM"
furie,fyRi,furie,NOM,2.58,2.05,5,5,4,2,NOM
fusil,fyzi,fusil,NOM,48.61,36.52,5,5,4,2,NOM
fusée,fyze,fusée,NOM,10.09,6.0,5,4,4,2,"VER,NOM"
futur,fytyR,futur,NOM,26.33,25.73,5,5,5,2,"ADJ,NOM"
futée,fyte,futé,NOM,3.47,0.64,5,0,4,2,"ADJ,NOM"
futés,fyte,futé,NOM,3.47,0.32,5,0,4,2,"ADJ,NOM"
fêtes,fEt,fête,NOM,155.97,17.94,5,0,3,1,"NOM,VER"
gaffe,gaf,gaffe,NOM,34.68,33.92,5,5,3,1,"NOM,VER"
gages,gaZ,gage,NOM,15.31,6.06,5,0,3,1,"NOM,VER"
gaine,gEn,gaine,NOM,2.15,1.16,5,5,3,1,NOM
gains,g5,gain,NOM,5.6,3.02,5,0,2,1,NOM
galas,gala,gala,NOM,3.9,0.59,5,0,4,2,NOM
gales,gal,gale,NOM,3.52,0.03,5,0,3,1,NOM
galon,gal§,galon,NOM,3.16,0.89,5,5,4,2,NOM
galop,galo,galop,NOM,2.83,2.83,5,5,4,2,NOM
gamin,gam5,gamin,NOM,92.22,55.94,5,5,4,2,"ADJ,NOM"
gamme,gam,gamme,NOM,3.22,2.67,5,5,3,1,NOM
gangs,g@g,gang,NOM,17.48,5.05,5,0,3,1,NOM
gants,g@,gant,NOM,25.02,15.16,5,0,2,1,NOM
garce,gaRs,garce,NOM,21.71,20.25,5,5,4,1,NOM
garde,gaRd,garde,NOM,104.47,76.76,5,5,4,1,"NOM,VER"
gares,gaR,gare,NOM,42.15,1.87,5,0,3,1,"NOM,VER"
gazon,gaz§,gazon,NOM,3.81,3.58,5,5,4,2,NOM
gelée,Z°le,gelée,NOM,4.31,3.92,5,5,4,2,"VER,NOM"
genou,Z°nu,genou,NOM,54.24,11.43,5,5,4,2,NOM
genre,Z@R,genre,NOM,221.51,219.66,5,5,3,1,NOM
gerbe,ZERb,gerbe,NOM,2.06,1.69,5,5,4,1,"NOM,VER"
geste,ZEst,geste,NOM,40.78,31.41,5,5,4,1,NOM
gifle,Zifl,gifle,NOM,4.47,3.6,5,5,4,1,"NOM,VER"
gilet,ZilE,gilet,NOM,6.06,5.13,5,5,4,2,NOM
girls,g9Rl,girl,NOM,7.47,3.06,5,0,4,1,NOM
gitan,Zit@,gitan,NOM,7.5,1.6,5,4,4,2,"ADJ,NOM"
glace,glas,glace,NOM,66.82,58.09,5,5,4,1,"NOM,VER"
gland,gl@,gland,NOM,2.95,2.14,5,5,3,1,NOM
globe,glOb,globe,NOM,4.21,3.17,5,5,4,1,NOM
gnome,gnom,gnome,NOM,2.95,2.36,5,4,4,1,NOM
gnôle,Nol,gnôle,NOM,3.24,3.24,5,3,3,1,NOM
gogos,gogo,gogo,NOM,2.19,0.35,5,0,4,2,NOM
golfs,gOlf,golf,NOM,14.14,0.09,5,0,4,1,NOM
gombo,g§bo,gombo,NOM,2.44,2.0,5,4,3,2,NOM
gomme,gOm,gomme,NOM,3.81,3.21,5,5,3,1,"NOM,VER"
gongs,g§g,gong,NOM,2.41,0.06,5,0,3,1,NOM
gorge,gORZ,gorge,NOM,30.87,29.57,5,5,4,1,"NOM,VER"
gosse,gOs,gosse,NOM,109.96,62.92,5,5,3,1,NOM
goûts,gu,goût,NOM,57.94,7.43,5,0,2,1,NOM
grade,gRad,grade,NOM,6.44,5.78,5,5,4,1,NOM
grain,gR5,grain,NOM,14.32,10.74,5,5,3,1,NOM
grand,gR@,grand,NOM,92.25,68.73,5,5,3,1,"ADJ,ADV,NOM"
grave,gRav,grave,NOM,2.46,2.34,5,5,4,1,"ADJ,NOM,VER"
grecs,gREk,grec,NOM,11.36,4.58,5,0,4,1,"ADJ,NOM"
group,gRup,group,NOM,7.65,7.41,5,5,4,1,NOM
grues,gRy,grue,NOM,4.76,1.22,5,0,3,1,NOM
grâce,gRas,grâce,NOM,34.59,32.08,5,3,4,1,"NOM,ONO,PRE"
grève,gREv,grève,NOM,15.87,14.54,5,4,4,1,"VER,NOM"
guets,gE,guet,NOM,3.29,0.0,5,0,2,1,NOM
gueux,g2,gueux,NOM,2.87,2.14,5,5,2,1,NOM
guide,gid,guide,NOM,17.52,14.69,5,5,3,1,"NOM,VER"
guise,giz,guise,NOM,6.26,6.26,5,5,3,1,NOM
guêpe,gEp,guêpe,NOM,3.37,2.73,5,5,3,1,NOM
gènes,ZEn,gène,NOM,8.07,3.9,5,0,3,1,NOM
géant,Ze@,géant,NOM,11.67,6.71,5,3,3,2,"ADJ,NOM"
génie,Zeni,génie,NOM,38.01,34.65,5,5,4,2,NOM
gênes,ZEn,gêne,NOM,3.62,0.62,5,0,3,1,"NOM,VER"
habit,abi,habit,NOM,27.64,8.34,5,5,3,2,NOM
hache,aS,hache,NOM,10.23,8.73,5,5,2,1,"NOM,VER"
haies,E,haie,NOM,3.36,0.76,5,0,1,1,NOM
haine,En,haine,NOM,33.1,31.49,5,5,2,1,NOM
halls,ol,hall,NOM,9.9,0.17,5,0,2,1,NOM
halte,alt,halte,NOM,3.77,3.73,5,5,3,1,"NOM,ONO,VER"
hasch,aS,hasch,NOM,2.16,2.16,5,5,2,1,NOM
hauts,o,haut,NOM,77.86,2.63,5,0,1,1,"ADJ,NOM"
herbe,ERb,herbe,NOM,34.81,27.64,5,5,3,1,NOM
heure,9R,heure,NOM,709.79,415.4,5,5,2,1,NOM
hibou,ibu,hibou,NOM,5.01,4.08,5,4,3,2,NOM
hiver,ivER,hiver,NOM,38.96,37.44,5,5,4,2,NOM
hobby,Obi,hobby,NOM,3.11,2.5,5,4,3,2,NOM
homes,om,home,NOM,4.0,0.24,5,0,2,1,NOM
homme,Om,homme,NOM,1123.55,781.11,5,5,2,1,NOM
homos,omo,homo,NOM,4.51,2.31,5,0,3,2,"ADJ,NOM"
honte,§t,honte,NOM,103.4,103.26,5,5,2,1,NOM
horde,ORd,horde,NOM,2.95,2.33,5,4,3,1,NOM
hosto,Osto,hosto,NOM,5.74,5.69,5,5,4,2,NOM
house,awz,house,NOM,4.74,4.74,5,5,3,1,NOM
huile,8il,huile,NOM,22.68,20.23,5,5,3,1,"NOM,VER"
hutte,yt,hutte,NOM,3.9,3.25,5,5,2,1,NOM
hymen,imEn,hymen,NOM,2.05,2.05,5,4,4,2,NOM
hymne,imn,hymne,NOM,6.25,5.37,5,4,3,1,NOM
hyène,jEn,hyène,NOM,2.37,1.64,5,3,3,1,NOM
hâtes,at,hâte,NOM,18.83,0.0,5,0,2,1,"NOM,VER"
héros,eRo,héros,NOM,76.58,66.17,5,5,3,2,NOM
hôtel,otEl,hôtel,NOM,114.67,107.73,5,5,4,2,NOM
hôtes,ot,hôte,NOM,19.43,6.0,5,0,2,1,NOM
idiot,idjo,idiot,NOM,90.57,55.73,5,5,4,2,"ADJ,NOM"
idole,idOl,idole,NOM,5.43,4.77,5,5,3,2,NOM
idéal,ideal,idéal,NOM,11.22,8.0,5,5,5,3,"ADJ,NOM"
idées,ide,idée,NOM,389.77,59.38,5,0,3,2,NOM
image,imaZ,image,NOM,82.13,51.34,5,5,4,2,"NOM,VER"
imper,5pER,imper,NOM,2.08,1.95,5,5,4,2,NOM
impôt,5po,impôt,NOM,15.14,2.67,5,4,3,2,NOM
index,5dEks,index,NOM,2.18,2.18,5,5,5,2,NOM
indic,5dik,indic,NOM,5.36,4.33,5,5,4,2,NOM
infos,5fo,info,NOM,25.5,18.78,5,0,3,2,NOM
islam,islam,islam,NOM,2.84,2.84,5,5,5,2,NOM
issue,isy,issue,NOM,16.52,13.7,5,5,3,2,"ADJ,NOM"
jacks,Zak,jack,NOM,2.26,0.4,5,0,3,1,NOM
jambe,Z@b,jambe,NOM,113.82,46.31,5,5,3,1,NOM
jaune,Zon,jaune,NOM,7.88,6.43,5,5,3,1,"ADJ,NOM"
jeans,dZins,jean,NOM,6.55,2.93,5,0,0,1,NOM
jeeps,dZip,jeep,NOM,4.65,0.47,5,0,4,1,NOM
jeter,Z°te,jeter,NOM,2.62,2.62,5,5,4,2,"NOM,VER"
jeton,Z°t§,jeton,NOM,10.27,2.88,5,4,4,2,NOM
jetée,Z°te,jetée,NOM,3.43,3.26,5,5,4,2,"VER,ADJ,NOM"
jeudi,Z2di,jeudi,NOM,26.09,24.58,5,4,3,2,NOM
jeune,Z9n,jeune,NOM,54.68,18.16,5,5,3,1,"ADJ,NOM"
joies,Zwa,joie,NOM,75.09,4.03,5,0,3,1,NOM
joint,Zw5,joint,NOM,8.38,5.78,5,5,3,1,"VER,ADJ,NOM"
joker,ZokER,joker,NOM,3.54,3.44,5,4,5,2,NOM
joues,Zu,joue,NOM,32.28,6.72,5,0,2,1,"NOM,VER"
jouet,ZwE,jouet,NOM,25.5,11.82,5,5,3,1,NOM
jougs,Zu,joug,NOM,2.48,0.01,5,0,2,1,NOM
jours,ZuR,jour,NOM,1061.92,426.7,5,0,3,1,NOM
joyau,Zwajo,joyau,NOM,3.6,2.67,5,4,5,2,NOM
juges,ZyZ,juge,NOM,66.45,10.06,5,0,3,1,"NOM,VER"
juifs,Z8if,juif,NOM,45.32,29.03,5,0,4,1,"ADJ,NOM"
juive,Z8iv,juif,NOM,45.32,1.45,5,0,0,1,"ADJ,NOM"
jules,Zyl,jules,NOM,4.13,4.13,5,5,3,1,NOM
jupes,Zyp,jupe,NOM,12.76,2.64,5,0,3,1,NOM
jupon,Zyp§,jupon,NOM,3.0,1.35,5,5,4,2,NOM
juron,ZyR§,juron,NOM,2.1,0.42,5,4,4,2,NOM
jurys,ZyRi,jury,NOM,18.8,0.15,5,0,4,2,NOM
jurée,ZyRe,juré,NOM,8.82,0.04,5,0,4,2,"VER,ADJ,NOM"
jurés,ZyRe,juré,NOM,8.82,5.59,5,0,4,2,"VER,ADJ,NOM"
juste,Zyst,juste,NOM,18.73,17.36,5,5,4,1,"ADJ,ADV,NOM"
jésus,Zezy,jésus,NOM,8.19,8.19,5,5,4,2,NOM
karma,kaRma,karma,NOM,10.73,10.73,5,5,5,2,NOM
keufs,k9f,keuf,NOM,2.83,1.83,5,0,3,1,NOM
kilos,kilo,kilo,NOM,22.54,17.35,5,0,4,2,NOM
képis,kepi,képi,NOM,2.39,0.55,5,0,3,2,NOM
labos,labo,labo,NOM,29.95,1.6,5,0,4,2,NOM
lacet,lasE,lacet,NOM,4.4,0.83,5,5,4,2,NOM
ladys,lEjdiz,lady,NOM,13.48,0.01,5,0,6,2,NOM
laine,lEn,laine,NOM,6.41,6.27,5,5,3,1,NOM
laits,lE,lait,NOM,59.62,0.21,5,0,2,1,NOM
lamas,lama,lama,NOM,2.13,0.9,5,0,4,2,"NOM,VER"
lames,lam,lame,NOM,14.22,3.17,5,0,3,1,NOM
lampe,l@p,lampe,NOM,25.86,22.22,5,5,3,1,"NOM,VER"
lance,l@s,lance,NOM,13.27,12.2,5,5,3,1,"NOM,VER"
lands,l@d,land,NOM,2.77,0.21,5,0,3,1,NOM
lapin,lap5,lapin,NOM,39.28,26.59,5,5,4,2,NOM
lapon,lap§,lapon,NOM,2.21,2.21,5,4,4,2,"ADJ,NOM"
lards,laR,lard,NOM,8.62,0.13,5,0,3,1,NOM
large,laRZ,large,NOM,8.63,8.38,5,5,4,1,"ADJ,NOM"
larme,laRm,larme,NOM,45.71,5.15,5,5,4,1,NOM
larve,laRv,larve,NOM,3.52,1.92,5,5,4,1,NOM
laser,lazER,laser,NOM,7.87,5.87,5,4,4,2,NOM
latin,lat5,latin,NOM,6.62,6.53,5,5,4,2,"ADJ,NOM"
laves,lav,lave,NOM,3.13,0.13,5,0,3,1,"NOM,VER"
lever,l°ve,lever,NOM,4.92,4.76,5,5,4,2,"NOM,VER"
leçon,l°s§,leçon,NOM,41.48,29.24,5,3,3,2,NOM
liens,lj5,lien,NOM,35.89,12.42,5,0,3,1,NOM
lieus,lj2,lieu,NOM,182.0,0.15,5,0,3,1,NOM
lieux,lj2,lieu,NOM,182.0,28.73,5,0,3,1,NOM
ligne,liN,ligne,NOM,89.83,69.42,5,5,3,1,NOM
ligue,lig,ligue,NOM,2.97,2.74,5,5,3,1,"NOM,VER"
lilas,lila,lilas,NOM,2.28,2.28,5,4,4,2,"ADJ,NOM"
linge,l5Z,linge,NOM,17.04,16.75,5,5,3,1,NOM
lions,lj§,lion,NOM,20.86,5.33,5,0,3,1,"VER,NOM"
lires,liR,lire,NOM,28.88,18.98,5,0,3,1,NOM
liste,list,liste,NOM,71.56,69.07,5,5,4,1,NOM
litre,litR,litre,NOM,10.19,2.75,5,5,4,1,NOM
livre,livR,livre,NOM,198.11,112.43,5,5,4,1,"NOM,VER"
lobes,lOb,lobe,NOM,3.58,0.74,5,0,3,1,NOM
local,lokal,local,NOM,5.78,3.55,5,5,5,2,"ADJ,NOM"
loges,lOZ,loge,NOM,13.69,1.54,5,0,3,1,"NOM,VER"
logis,loZi,logis,NOM,2.7,2.7,5,5,4,2,NOM
longs,l§,long,NOM,21.79,0.32,5,0,2,1,"ADJ,NOM"
looks,luks,look,NOM,10.93,0.46,5,0,0,1,NOM
loque,lOk,loque,NOM,2.2,1.72,5,5,3,1,NOM
loser,loze,loser,NOM,4.77,3.27,5,4,4,2,NOM
lotos,loto,loto,NOM,6.75,0.0,5,0,4,2,NOM
louis,lwi,louis,NOM,5.01,5.01,5,5,3,1,"ADV,NOM"
loups,lu,loup,NOM,30.42,8.41,5,0,2,1,NOM
louve,luv,loup,NOM,30.42,1.02,5,0,0,1,NOM
loyer,lwaje,loyer,NOM,17.18,16.2,5,4,5,2,NOM
lubie,lybi,lubie,NOM,2.41,1.37,5,4,4,2,NOM
lueur,l89R,lueur,NOM,6.65,5.37,5,4,3,1,NOM
lundi,l1di,lundi,NOM,36.94,36.01,5,4,3,2,NOM
lunes,lyn,lune,NOM,61.02,2.74,5,0,3,1,NOM
lutin,lyt5,lutin,NOM,2.14,1.45,5,5,4,2,"ADJ,NOM"
lutte,lyt,lutte,NOM,23.18,22.0,5,5,3,1,"NOM,VER"
luxes,lyks,luxe,NOM,15.62,0.2,5,0,4,1,NOM
lycée,lise,lycée,NOM,42.56,41.96,5,5,4,2,NOM
lâche,laS,lâche,NOM,27.16,19.51,5,5,3,1,"ADJ,NOM,VER"
lèvre,lEvR,lèvre,NOM,37.91,4.0,5,3,4,1,NOM
macho,matSo,macho,NOM,3.19,2.34,5,5,5,2,"ADJ,NOM"
mafia,mafja,mafia,NOM,11.56,11.34,5,5,5,2,NOM
