ortho,Lexique3__phon,Lexique3__lemme,Lexique3__cgram,Lexique3__freqlemfilms2,Lexique3__freqfilms2,Lexique3__nblettres,Lexique3__puorth,Lexique3__puphon,Lexique3__nbsyll,Lexique3__cgramortho
riens,Rj5,rien,NOM,7.26,0.62,5,0,3,1,NOM
rimes,Rim,rime,NOM,3.08,1.75,5,0,3,1,"NOM,VER"
rings,RiG,ring,NOM,6.49,0.29,5,0,3,1,NOM
rires,RiR,rire,NOM,38.88,16.09,5,0,3,1,NOM
risée,Rize,risée,NOM,2.22,2.12,5,4,4,2,NOM
rital,Rital,rital,NOM,2.66,1.36,5,4,4,2,NOM
rites,Rit,rite,NOM,5.43,1.66,5,0,3,1,NOM
rival,Rival,rival,NOM,4.75,2.68,5,5,5,2,"ADJ,NOM"
rives,Riv,rive,NOM,7.92,1.89,5,0,3,1,NOM
robes,ROb,robe,NOM,84.43,11.71,5,0,3,1,NOM
robot,Robo,robot,NOM,22.89,14.97,5,5,4,2,NOM
roche,ROS,roche,NOM,5.81,3.68,5,5,3,1,NOM
rocks,ROk,rock,NOM,22.11,0.64,5,0,3,1,NOM
rodéo,Rodeo,rodéo,NOM,2.01,1.92,5,4,5,3,NOM
rogne,RON,rogne,NOM,3.68,3.67,5,5,3,1,"NOM,VER"
roman,Rom@,roman,NOM,23.73,17.79,5,5,4,2,"ADJ,NOM"
ronde,R§d,ronde,NOM,9.54,7.93,5,5,3,1,"ADJ,NOM"
ronds,R§,rond,NOM,16.84,1.73,5,0,2,1,"ADJ,NOM"
roses,Roz,rose,NOM,24.67,13.56,5,0,3,1,"ADJ,NOM"
rosée,Roze,rosée,NOM,3.19,3.19,5,5,4,2,"VER,NOM"
roues,Ru,roue,NOM,21.87,8.38,5,0,2,1,"NOM,VER"
rouge,RuZ,rouge,NOM,37.14,32.93,5,5,3,1,"ADJ,NOM"
roule,Rul,roule,NOM,4.85,4.84,5,5,3,1,"NOM,VER"
round,Rund,round,NOM,7.59,5.75,5,4,3,1,NOM
route,Rut,route,NOM,166.72,152.83,5,5,3,1,NOM
ruban,Ryb@,ruban,NOM,8.49,6.56,5,5,4,2,NOM
rubis,Rybi,rubis,NOM,2.22,2.22,5,5,4,2,"ADJ,NOM"
ruche,RyS,ruche,NOM,3.57,2.64,5,5,3,1,NOM
ruine,R8in,ruine,NOM,17.93,9.23,5,5,4,1,"NOM,VER"
runes,Ryn,rune,NOM,2.4,1.32,5,0,3,1,NOM
ruses,Ryz,ruse,NOM,9.98,1.89,5,0,3,1,"NOM,VER"
russe,Rys,russe,NOM,35.44,15.68,5,5,3,1,"ADJ,NOM"
règle,REgl,règle,NOM,79.51,33.17,5,5,4,1,"NOM,VER"
règne,REN,règne,NOM,7.32,7.3,5,4,3,1,"NOM,VER"
récit,Resi,récit,NOM,9.89,7.12,5,5,4,2,NOM
récré,RekRe,récré,NOM,2.29,2.25,5,5,5,2,NOM
réels,ReEl,réel,NOM,3.11,0.33,5,0,4,2,"ADJ,NOM"
régal,Regal,régal,NOM,2.19,2.18,5,5,5,2,NOM
répit,Repi,répit,NOM,3.87,3.86,5,4,4,2,NOM
rênes,REn,rêne,NOM,2.23,2.21,5,0,3,1,NOM
rêves,REv,rêve,NOM,158.75,59.35,5,0,3,1,"NOM,VER"
rôles,Rol,rôle,NOM,69.38,8.18,5,0,3,1,NOM
rôtis,Roti,rôti,NOM,4.33,0.3,5,0,4,2,"ADJ,NOM,VER"
sable,sabl,sable,NOM,25.23,23.14,5,5,4,1,"ADJ,NOM,VER"
sabot,sabo,sabot,NOM,4.95,1.79,5,5,4,2,NOM
sabre,sabR,sabre,NOM,6.95,5.44,5,5,4,1,"NOM,VER"
sacré,sakRe,sacré,NOM,3.4,3.17,5,5,5,2,"VER,ADJ,NOM"
sages,saZ,sage,NOM,5.47,2.16,5,0,3,1,"ADJ,NOM"
saint,s5,saint,NOM,39.85,12.37,5,5,2,1,"ADJ,NOM"
sakés,sake,saké,NOM,2.55,0.0,5,0,4,2,NOM
salle,sal,salle,NOM,116.91,111.1,5,4,3,1,NOM
salon,sal§,salon,NOM,39.24,37.06,5,5,4,2,NOM
salut,saly,salut,NOM,277.42,277.35,5,5,4,2,"NOM,ONO"
samba,s@ba,samba,NOM,2.91,2.91,5,5,4,2,NOM
sangs,s@,sang,NOM,304.75,0.45,5,0,2,1,NOM
santé,s@te,santé,NOM,88.69,88.58,5,5,4,2,NOM
sapin,sap5,sapin,NOM,6.91,5.95,5,5,4,2,NOM
satin,sat5,satin,NOM,2.65,2.65,5,5,4,2,NOM
sauce,sos,sauce,NOM,19.24,18.33,5,5,3,1,"NOM,VER"
sauna,sona,sauna,NOM,3.85,3.45,5,5,4,2,NOM
saute,sot,saute,NOM,14.52,13.6,5,5,3,1,"NOM,VER"
sauts,so,saut,NOM,14.77,1.23,5,0,2,1,NOM
savon,sav§,savon,NOM,16.68,15.65,5,5,4,2,NOM
sceau,so,sceau,NOM,3.72,3.54,5,4,2,1,NOM
scies,si,scie,NOM,5.36,0.15,5,0,2,1,"NOM,VER"
scoop,skup,scoop,NOM,5.29,5.12,5,5,4,1,NOM
score,skOR,score,NOM,5.92,5.29,5,5,4,1,NOM
scout,skut,scout,NOM,3.73,1.21,5,5,4,1,"ADJ,NOM"
scrub,skROb,scrub,NOM,2.72,0.07,5,5,5,1,NOM
scène,sEn,scène,NOM,107.96,96.66,5,5,3,1,NOM
seaux,so,seau,NOM,9.01,2.0,5,0,2,1,NOM
secte,sEkt,secte,NOM,5.02,4.15,5,5,4,1,NOM
seins,s5,sein,NOM,44.9,27.97,5,0,2,1,NOM
selle,sEl,selle,NOM,10.26,8.9,5,5,3,1,"NOM,VER"
serbe,sERb,serbe,NOM,2.85,0.54,5,5,4,1,"ADJ,NOM"
serre,sER,serre,NOM,5.28,3.79,5,5,3,1,"NOM,VER"
seuil,s9j,seuil,NOM,5.49,5.45,5,4,3,1,NOM
seule,s9l,seul,NOM,102.45,31.04,5,0,3,1,"ADJ,NOM"
seuls,s9l,seul,NOM,102.45,9.21,5,0,3,1,"ADJ,NOM"
sexes,sEks,sexe,NOM,52.09,1.65,5,0,4,1,NOM
señor,seNOR,señor,NOM,9.75,9.75,5,3,4,2,NOM
short,SORt,short,NOM,4.42,3.79,5,4,4,1,NOM
sidas,sida,sida,NOM,5.02,0.0,5,0,4,2,NOM
sieur,sj9R,sieur,NOM,8.06,7.66,5,4,3,1,NOM
signe,siN,signe,NOM,82.73,67.74,5,5,3,1,"NOM,VER"
singe,s5Z,singe,NOM,35.48,21.59,5,5,3,1,"NOM,VER"
sires,siR,sire,NOM,3.37,0.0,5,0,3,1,NOM
sirop,siRo,sirop,NOM,5.75,5.7,5,5,4,2,NOM
sites,sit,site,NOM,17.17,3.26,5,0,3,1,NOM
siège,sjEZ,siège,NOM,29.44,23.69,5,4,4,1,"NOM,VER"
skate,skEjt,skate,NOM,2.5,2.14,5,5,5,1,NOM
slips,slip,slip,NOM,11.35,2.06,5,0,4,1,NOM
sodas,soda,soda,NOM,10.23,1.11,5,0,4,2,NOM
soeur,s9R,soeur,NOM,184.99,155.22,5,5,3,1,NOM
sofas,sofa,sofa,NOM,4.77,0.33,5,0,4,2,NOM
soies,swa,soie,NOM,10.38,0.42,5,0,3,1,NOM
soifs,swaf,soif,NOM,31.82,0.54,5,0,4,1,NOM
soins,sw5,soin,NOM,71.99,17.55,5,0,3,1,NOM
soirs,swaR,soir,NOM,575.7,19.86,5,0,4,1,NOM
solde,sOld,solde,NOM,6.76,5.09,5,5,4,1,"NOM,VER"
solos,solo,solo,NOM,5.22,0.41,5,0,4,2,NOM
somme,sOm,somme,NOM,35.25,28.27,5,5,3,1,"NOM,VER"
sonde,s§d,sonde,NOM,6.31,5.3,5,5,3,1,"NOM,VER"
songe,s§Z,songe,NOM,4.53,3.81,5,5,3,1,"NOM,VER"
sorte,sORt,sorte,NOM,114.73,98.33,5,5,4,1,"NOM,VER"
sorts,sOR,sort,NOM,44.8,1.88,5,0,3,1,NOM
sotte,sOt,sot,NOM,5.84,1.96,5,0,0,1,"ADJ,NOM"
souci,susi,souci,NOM,49.47,26.73,5,5,4,2,NOM
soupe,sup,soupe,NOM,32.26,31.72,5,5,3,1,"NOM,VER"
sourd,suR,sourd,NOM,2.94,1.64,5,5,3,1,"ADJ,NOM,VER"
soute,sut,soute,NOM,2.62,2.33,5,5,3,1,NOM
speed,spid,speed,NOM,3.45,3.45,5,5,4,1,NOM
sport,spOR,sport,NOM,30.04,24.61,5,5,4,1,NOM
spots,spOt,spot,NOM,3.5,1.0,5,0,4,1,NOM
spray,spREj,spray,NOM,2.71,2.65,5,5,4,1,NOM
stade,stad,stade,NOM,15.14,14.34,5,5,4,1,NOM
stage,staZ,stage,NOM,6.16,4.87,5,5,4,1,NOM
stand,st@d,stand,NOM,7.02,5.66,5,5,4,1,NOM
stars,staR,star,NOM,39.34,10.44,5,0,4,1,NOM
steak,stEk,steak,NOM,10.76,8.15,5,5,4,1,NOM
stock,stOk,stock,NOM,5.66,4.23,5,5,4,1,NOM
stops,stOp,stop,NOM,44.5,0.14,5,0,4,1,NOM
store,stOR,store,NOM,3.59,1.35,5,5,4,1,NOM
strip,stRip,strip,NOM,2.44,2.44,5,5,5,1,NOM
stups,styp,stup,NOM,2.26,2.26,5,5,4,1,"NOM,ADJ"
style,stil,style,NOM,32.34,31.08,5,5,4,1,"NOM,VER"
stylo,stilo,stylo,NOM,17.73,15.34,5,5,5,2,NOM
sucre,sykR,sucre,NOM,32.01,30.57,5,5,4,1,"NOM,VER"
sueur,s89R,sueur,NOM,11.71,10.27,5,4,3,1,NOM
suite,s8it,suite,NOM,275.9,274.18,5,5,4,1,NOM
sujet,syZE,sujet,NOM,120.42,107.92,5,5,4,2,"ADJ,NOM"
super,sypER,super,NOM,73.26,71.48,5,5,5,2,"ADJ,NOM"
sushi,suSi,sushi,NOM,2.03,2.03,5,4,4,2,NOM
sèves,sEv,sève,NOM,3.19,0.0,5,0,3,1,NOM
série,seRi,série,NOM,36.53,33.34,5,5,4,2,NOM
sérum,seROm,sérum,NOM,4.16,4.0,5,4,4,2,NOM
tabac,taba,tabac,NOM,16.0,15.7,5,5,4,2,NOM
table,tabl,table,NOM,118.37,111.44,5,5,4,1,"NOM,VER"
tache,taS,tache,NOM,21.04,12.61,5,5,3,1,"NOM,VER"
tacos,tako,taco,NOM,2.0,1.01,5,0,4,2,NOM
taffe,taf,taffe,NOM,2.06,2.02,5,5,3,1,NOM
talon,tal§,talon,NOM,11.72,4.03,5,5,4,2,NOM
tango,t@go,tango,NOM,5.74,5.58,5,5,4,2,"ADJ,NOM"
tanks,t@k,tank,NOM,8.41,4.62,5,0,3,1,NOM
tante,t@t,tante,NOM,76.62,70.69,5,5,3,1,NOM
tapes,tap,tape,NOM,2.54,0.23,5,0,3,1,"NOM,VER"
tapin,tap5,tapin,NOM,2.31,2.25,5,5,4,2,NOM
tapis,tapi,tapis,NOM,20.13,20.13,5,5,4,2,"VER,NOM"
tarif,taRif,tarif,NOM,6.26,4.58,5,5,5,2,NOM
tarte,taRt,tarte,NOM,13.04,10.41,5,5,4,1,"ADJ,NOM"
tarés,taRe,taré,NOM,10.48,3.53,5,0,4,2,"VER,ADJ,NOM"
tasse,tas,tasse,NOM,21.89,18.52,5,5,3,1,"NOM,VER"
tatas,tata,tata,NOM,3.0,0.04,5,0,4,2,NOM
taule,tol,taule,NOM,27.0,26.92,5,5,3,1,NOM
taupe,top,taupe,NOM,6.6,5.42,5,5,3,1,"ADJ,NOM"
taxes,taks,taxe,NOM,4.34,2.49,5,0,4,1,"NOM,VER"
taxis,taksi,taxi,NOM,63.77,4.35,5,0,5,2,NOM
teams,tim,team,NOM,13.84,0.16,5,0,3,1,NOM
teint,t5,teint,NOM,4.87,4.84,5,5,2,1,"VER,ADJ,NOM"
tempe,t@p,tempe,NOM,3.38,2.23,5,5,3,1,NOM
temps,t@,temps,NOM,1031.05,1031.05,5,5,2,1,NOM
tente,t@t,tente,NOM,16.65,14.4,5,5,3,1,"NOM,VER"
tenue,t°ny,tenue,NOM,21.96,19.64,5,5,4,2,"VER,ADJ,NOM"
terme,tERm,terme,NOM,37.67,25.72,5,5,4,1,NOM
terre,tER,terre,NOM,294.45,276.29,5,5,3,1,"NOM,VER"
tests,tEst,test,NOM,55.38,20.5,5,0,4,1,NOM
texte,tEkst,texte,NOM,20.42,16.22,5,5,5,1,NOM
thons,t§,thon,NOM,5.88,0.23,5,0,2,1,NOM
thune,tyn,thune,NOM,4.63,3.52,5,4,3,1,NOM
thème,tEm,thème,NOM,17.32,15.49,5,4,3,1,NOM
thèse,tEz,thèse,NOM,10.67,10.22,5,4,3,1,NOM
tibia,tibja,tibia,NOM,2.33,2.02,5,5,5,2,NOM
tiens,tj5,tien,NOM,12.98,12.98,5,5,3,1,"VER,NOM,ADJ:pos,ONO,PRO:pos"
tiers,tjER,tiers,NOM,6.24,6.18,5,5,4,1,"ADJ,NOM"
tiges,tiZ,tige,NOM,3.73,1.34,5,0,3,1,NOM
tigre,tigR,tigre,NOM,15.19,11.14,5,5,4,1,NOM
tires,tiR,tire,NOM,17.13,0.38,5,0,3,1,"NOM,VER"
tissu,tisy,tissu,NOM,15.69,9.21,5,5,4,2,"ADJ,NOM"
titis,titi,titi,NOM,4.79,0.0,5,0,4,2,NOM
titre,titR,titre,NOM,41.35,32.4,5,5,4,1,"NOM,VER"
toast,tost,toast,NOM,16.3,13.73,5,5,4,1,NOM
toile,twal,toile,NOM,17.99,11.75,5,5,4,1,NOM
toits,twa,toit,NOM,49.01,6.37,5,0,3,1,NOM
tombe,t§b,tombe,NOM,49.67,41.33,5,5,3,1,"NOM,VER"
tonic,tonik,tonic,NOM,2.04,1.93,5,5,5,2,NOM
tonne,tOn,tonne,NOM,16.29,4.48,5,5,3,1,"NOM,VER"
topos,topo,topo,NOM,3.17,0.01,5,0,4,2,NOM
torse,tORs,torse,NOM,3.82,3.75,5,5,4,1,"ADJ,NOM"
torts,tOR,tort,NOM,67.97,3.08,5,0,3,1,NOM
total,total,total,NOM,3.86,3.66,5,5,5,2,"ADJ,NOM"
tours,tuR,tour,NOM,193.82,18.26,5,0,3,1,NOM
touts,tu,tout,NOM,330.7,0.1,5,0,2,1,NOM
trace,tRas,trace,NOM,60.18,29.2,5,5,4,1,"NOM,VER"
tracs,tRak,trac,NOM,5.17,0.26,5,0,4,1,NOM
tract,tRakt,tract,NOM,3.67,0.41,5,5,5,1,NOM
train,tR5,train,NOM,255.28,244.4,5,5,3,1,NOM
trait,tRE,trait,NOM,15.86,7.83,5,5,3,1,"VER,ADJ,NOM"
trams,tRam,tram,NOM,5.73,0.22,5,0,4,1,NOM
tribu,tRiby,tribu,NOM,11.57,7.96,5,5,5,2,NOM
trios,tRijo,trio,NOM,2.74,0.44,5,0,5,2,NOM
tripe,tRip,tripe,NOM,8.75,0.36,5,5,4,1,NOM
trips,tRip,trip,NOM,4.62,0.26,5,0,4,1,NOM
troll,tROl,troll,NOM,2.07,0.96,5,5,4,1,NOM
tronc,tR§,tronc,NOM,5.81,4.84,5,5,3,1,NOM
trous,tRu,trou,NOM,90.72,15.4,5,0,3,1,NOM
trucs,tRyk,truc,NOM,381.34,106.41,5,0,4,1,NOM
truie,tR8i,truie,NOM,3.35,3.16,5,5,4,1,NOM
trêve,tREv,trêve,NOM,6.69,6.68,5,3,4,1,NOM
trône,tRon,trône,NOM,14.32,13.99,5,5,4,1,"NOM,VER"
tsars,tsaR,tsar,NOM,14.3,0.38,5,0,4,1,NOM
tubes,tyb,tube,NOM,17.4,5.24,5,0,3,1,NOM
tueur,t89R,tueur,NOM,64.06,52.42,5,5,3,1,NOM
tuile,t8il,tuile,NOM,2.71,1.28,5,5,4,1,NOM
tuyau,t8ijo,tuyau,NOM,26.73,17.51,5,5,5,2,NOM
tuées,t8e,tué,NOM,3.56,0.23,5,0,3,1,"VER,ADJ,NOM"
types,tip,type,NOM,334.85,54.23,5,0,3,1,NOM
tyran,tiR@,tyran,NOM,7.79,6.17,5,5,4,2,NOM
tâche,taS,tâche,NOM,31.01,25.2,5,5,3,1,"NOM,VER"
télés,tele,télé,NOM,106.42,2.06,5,0,4,2,NOM
téton,tet§,téton,NOM,4.59,1.21,5,4,4,2,NOM
têtes,tEt,tête,NOM,475.87,22.74,5,0,3,1,NOM
tôles,tol,tôle,NOM,3.58,0.29,5,0,3,1,NOM
union,ynj§,union,NOM,19.14,18.1,5,5,4,2,NOM
unité,ynite,unité,NOM,43.46,29.29,5,5,5,3,NOM
urine,yRin,urine,NOM,5.72,4.63,5,5,4,2,"NOM,VER"
urnes,yRn,urne,NOM,2.69,0.74,5,0,3,1,NOM
usage,yzaZ,usage,NOM,14.45,13.26,5,5,4,2,NOM
usine,yzin,usine,NOM,51.59,43.51,5,5,4,2,"NOM,VER"
utile,ytil,utile,NOM,2.22,2.22,5,5,4,2,"ADJ,NOM"
vache,vaS,vache,NOM,47.71,36.24,5,5,3,1,"ADJ,NOM"
vagin,vaZ5,vagin,NOM,4.4,4.11,5,5,4,2,NOM
vague,vag,vague,NOM,21.59,12.8,5,5,3,1,"ADJ,NOM,VER"
valet,valE,valet,NOM,11.4,9.23,5,5,4,2,NOM
valse,vals,valse,NOM,5.55,5.45,5,5,4,1,"NOM,VER"
valve,valv,valve,NOM,2.63,1.6,5,5,4,1,NOM
vanne,van,vanne,NOM,2.73,0.94,5,5,3,1,"NOM,VER"
vases,vaz,vase,NOM,10.74,0.91,5,0,3,1,NOM
veaux,vo,veau,NOM,8.66,0.97,5,0,2,1,NOM
veine,vEn,veine,NOM,19.74,10.75,5,5,3,1,NOM
vendu,v@dy,vendu,NOM,4.03,3.01,5,5,4,2,"VER,ADJ,NOM"
venin,v°n5,venin,NOM,3.59,3.57,5,5,4,2,NOM
vente,v@t,vente,NOM,27.54,20.93,5,5,3,1,"NOM,VER"
vents,v@,vent,NOM,77.34,5.84,5,0,2,1,NOM
venue,v°ny,venue,NOM,9.6,8.34,5,5,4,2,"VER,ADJ,NOM"
venus,v°ny,venu,NOM,2.88,2.88,5,0,4,2,"VER,ADJ,NOM"
verbe,vERb,verbe,NOM,2.02,1.66,5,5,4,1,NOM
verre,vER,verre,NOM,176.57,154.13,5,5,3,1,NOM
verts,vER,vert,NOM,10.91,0.84,5,0,3,1,"ADJ,NOM"
vertu,vERty,vertu,NOM,17.75,13.49,5,5,5,2,NOM
veste,vEst,veste,NOM,37.72,36.0,5,5,4,1,NOM
veufs,v9f,veuf,NOM,18.41,0.06,5,0,3,1,"ADJ,NOM"
veuve,v9v,veuf,NOM,18.41,15.64,5,0,0,1,"ADJ,NOM"
vices,vis,vice,NOM,12.29,4.52,5,0,3,1,NOM
vides,vid,vide,NOM,17.82,1.13,5,0,3,1,"ADJ,NOM,VER"
vidéo,video,vidéo,NOM,21.34,15.23,5,5,5,3,"ADJ,NOM"
vieux,vj2,vieux,NOM,145.73,124.54,5,5,3,1,"ADJ,NOM"
vigne,viN,vigne,NOM,6.87,4.97,5,5,3,1,NOM
villa,villa,villa,NOM,16.61,15.3,5,5,4,2,NOM
ville,vil,ville,NOM,295.14,277.98,5,5,3,1,NOM
viols,vjOl,viol,NOM,15.33,1.9,5,0,4,1,NOM
virus,viRys,virus,NOM,23.98,23.98,5,5,5,2,NOM
virée,viRe,virée,NOM,4.13,3.42,5,4,4,2,"VER,NOM"
visas,viza,visa,NOM,7.39,1.25,5,0,4,2,"NOM,VER"
vitre,vitR,vitre,NOM,16.35,10.21,5,5,4,1,"NOM,VER"
vivre,vivR,vivre,NOM,12.61,5.24,5,5,4,1,"NOM,VER"
vodka,vOdka,vodka,NOM,17.07,16.93,5,4,3,2,NOM
voeux,v2,voeu,NOM,28.58,17.86,5,0,2,1,NOM
vogue,vOg,vogue,NOM,2.43,2.43,5,5,3,1,"NOM,VER"
voies,vwa,voie,NOM,56.06,9.05,5,0,3,1,"NOM,VER"
voile,vwal,voile,NOM,20.51,15.49,5,5,4,1,"NOM,VER"
voles,vOl,vole,NOM,2.0,0.06,5,0,3,1,"NOM,VER"
volet,volE,volet,NOM,5.93,2.21,5,5,4,2,NOM
volts,vOlt,volt,NOM,2.0,1.6,5,0,4,1,NOM
vomis,vomi,vomi,NOM,3.52,0.53,5,0,4,2,"NOM,VER"
votes,vOt,vote,NOM,15.04,3.42,5,0,3,1,"NOM,VER"
voyou,vwaju,voyou,NOM,21.09,11.69,5,5,5,2,NOM
voûte,vut,voûte,NOM,2.21,1.71,5,5,3,1,"NOM,VER"
vrais,vRE,vrai,NOM,37.58,2.98,5,0,3,1,"ADJ,NOM"
vélos,velo,vélo,NOM,35.58,2.64,5,0,4,2,NOM
wagon,vag§,wagon,NOM,10.24,6.53,5,5,4,2,NOM
water,watER,water,NOM,2.49,1.03,5,5,5,2,NOM
yacht,jOt,yacht,NOM,6.95,6.51,5,5,3,1,NOM
yacks,jak,yack,NOM,3.15,2.69,5,0,3,1,NOM
yards,jaR,yard,NOM,2.1,1.64,5,0,3,1,NOM
yuans,jyan,yuan,NOM,4.69,4.19,5,0,3,2,NOM
zincs,z5g,zinc,NOM,2.12,0.16,5,0,3,1,NOM
zizis,zizi,zizi,NOM,2.89,0.2,5,0,4,2,NOM
zones,zon,zone,NOM,53.94,6.98,5,0,3,1,NOM
zooms,zum,zoom,NOM,2.4,0.12,5,0,3,1,NOM
zèbre,zEbR,zèbre,NOM,3.8,2.65,5,3,4,1,"NOM,VER"
zèles,zEl,zèle,NOM,4.92,0.0,5,0,3,1,NOM
zéros,zeRo,zéro,NOM,32.85,2.41,5,0,3,2,NOM
écart,ekaR,écart,NOM,14.71,14.36,5,5,4,2,NOM
échec,eSEk,échec,NOM,24.31,15.47,5,5,4,2,NOM
échos,eko,écho,NOM,6.65,0.82,5,0,3,2,NOM
éclat,ekla,éclat,NOM,14.28,9.73,5,5,4,2,NOM
école,ekOl,école,NOM,206.88,197.04,5,5,4,2,NOM
écran,ekR@,écran,NOM,23.68,19.78,5,5,4,2,NOM
écrit,ekRi,écrit,NOM,10.67,8.14,5,5,4,2,"VER,ADJ,NOM"
écume,ekym,écume,NOM,2.31,2.31,5,5,4,2,"NOM,VER"
égard,egaR,égard,NOM,9.19,6.77,5,5,4,2,NOM
égaux,ego,égal,NOM,5.65,2.26,5,0,3,2,"ADJ,NOM"
égout,egu,égout,NOM,7.01,3.23,5,5,3,2,NOM
élans,el@,élan,NOM,5.66,1.05,5,0,3,2,NOM
élite,elit,élite,NOM,7.38,7.24,5,5,4,2,NOM
éloge,elOZ,éloge,NOM,2.62,1.31,5,5,3,2,NOM
élève,elEv,élève,NOM,36.84,15.83,5,3,4,2,"VER,NOM"
épave,epav,épave,NOM,7.5,6.52,5,4,4,2,NOM
épice,epis,épice,NOM,3.06,1.46,5,5,4,2,"NOM,VER"
épine,epin,épine,NOM,5.81,2.52,5,5,4,2,NOM
époux,epu,époux,NOM,65.34,19.57,5,5,3,2,NOM
épées,epe,épée,NOM,32.81,3.48,5,0,3,2,NOM
étage,etaZ,étage,NOM,46.45,39.47,5,5,4,2,"NOM,VER"
étang,et@,étang,NOM,7.1,6.57,5,5,3,2,NOM
étape,etap,étape,NOM,15.77,12.44,5,4,4,2,NOM
états,eta,état,NOM,145.72,8.91,5,0,3,2,NOM
étude,etyd,étude,NOM,44.22,11.35,5,5,4,2,NOM
étuis,et8i,étui,NOM,2.54,0.17,5,0,3,2,NOM
évier,evje,évier,NOM,3.87,3.81,5,4,3,2,NOM
êtres,EtR,être,NOM,100.69,21.91,5,0,3,1,NOM
